,Company_Names,World_Ranks(Jan-2020),Market_Cap(In_Billion_USD),Headquarter_of_Company,Annual_Revenue_till,Annual_revenue,Annual_Net_Income_till,Annual_Net_income,Sector,Total_Employees,Employee_Count_as_on_Date,CEO,Annual_Revenue,Annual_Net_Income,Annual_Revenue(mbtc),Annual_Net_Income(mbtc)
0,SAUDI ARABIAN OIL COMPANY (Saudi Aramco),1,1898.1,Saudi Arabia,2020,862 Billion SAR,2020,185 Billion SAR,"Energy, Oil and Gas, Chemicals, Oil Refining, Oil and Gas Pipeline Transport, Integrated Oil and Gas Companies",79800,2021,Amin H. Al-Nasser,862.0,185.0,Billion SAR,Billion SAR
1,APPLE,2,1323.0,USA,2020,274.51 Billion USD,2020,57.41 Billion USD,"Technology, Mobiles & Accessories, Electronics, Consumer Electronics, Computers Hardware, Software and IT, Music, Tablets, Technology Hardware and Instruments, Retail, Artificial Intelligence, Laptops, Software Products",154000,2021,Tim Cook,274.51,57.41,Billion USD,Billion USD
2,MICROSOFT CORPORATION,3,1215.0,USA,2020,143.00 Billion USD,2020,44.30 Billion USD,"Technology, Software and IT, Laptops, Video Games / Mobile Games / Tech Games / Casino Games, Gaming, Internet or Mobile App Based Business, Computers Hardware, Tablets, Cloud Services, Artificial Intelligence, Internet of Things, Media, Electronics, Consumer Electronics, Advertising",182268,2021,Satya Nadella,143.0,44.3,Billion USD,Billion USD
3,ALPHABET,4,943.9,USA,2020,182.52 Billion USD,2020,40.26 Billion USD,"Technology, Internet or Mobile App Based Business, Software and IT, Software Products, Cloud Services, Artificial Intelligence, Internet of Things, Gaming, Video Games / Mobile Games / Tech Games / Casino Games, Advertising, Media",156500,2021,Sundar Pichai,182.52,40.26,Billion USD,Billion USD
4,AMAZON.COM,5,941.03,USA,2020,386.06 Billion USD,2020,21.33 Billion USD,"eCommerce, Internet or Mobile App Based Business, Cloud Services, Software and IT, Artificial Intelligence, Technology, Consulting Services, Consumer Services, Software Products, Retail",1335000,2021,Andy Jassy,386.06,21.33,Billion USD,Billion USD
5,META PLATFORMS,6,598.24,USA,2020,85.96 Billion USD,2020,29.15 Billion USD,"Communication Services, Internet or Mobile App Based Business, Social Media, Artificial Intelligence, Internet of Things, Advertising, Technology, Media, Software and IT, Software Products",77805,2022,Mark Zuckerberg,85.96,29.15,Billion USD,Billion USD
6,ALIBABA GROUP HOLDING,7,591.59,China,2020,71.86 Billion USD,2020,21.06 Billion USD,"eCommerce, Internet or Mobile App Based Business, Technology, Software and IT, Business Services, Software Products, Retail, B2B Services",251462,2021,Daniel Zhang,71.86,21.06,Billion USD,Billion USD
7,BERKSHIRE HATHAWAY,8,555.39,USA,2019,327.22 Billion USD,2019,81.41 Billion USD,"Financial Services, Investments, Insurance",360000,2020,Warren Buffett,327.22,81.41,Billion USD,Billion USD
8,TENCENT,9,478.59,China,2019,377.28 Billion CNY,2019,93.31 Billion CNY,"Communication Services, Investments, Internet or Mobile App Based Business, Advertising, Media, Gaming, Video Games / Mobile Games / Tech Games / Casino Games, Artificial Intelligence, Software and IT, Software Products, Technology",112771,2021,Ma Huateng,377.28,93.31,Billion CNY,Billion CNY
9,J P MORGAN CHASE & CO,10,438.07,USA,2020,122.90 Billion USD,2020,29.10 Billion USD,"Financial Services, Banking Services, Credit Cards, Asset Management",271025,2021,Jamie Dimon,122.9,29.1,Billion USD,Billion USD
10,VISA,11,421.52,USA,2020,21.84 Billion USD,2020,10.86 Billion USD,"Financial Services, Technology, Software and IT, Credit Cards, Digital Payment Solution Services, Business Services, Software Products, Artificial Intelligence",21500,2021,Alfred F Kelly Jr,21.84,10.86,Billion USD,Billion USD
